titulo;precio;cantidad_stock;categoria;rating
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2);16.28;16;sequential art;1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity;31.12;16;nonfiction;3
This One Summer;19.49;16;sequential art;4
Thirst;17.27;16;fiction;5
The Torch Is Passed: A Harding Family Story;19.09;16;add a comment;1
The Secret of Dreadwillow Carse;56.13;16;childrens;1
The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;56.41;16;food and drink;1
The Past Never Ends;56.50;16;mystery;4
The Natural History of Us (The Fine Art of Pretending #2);45.22;16;young adult;3
The Nameless City (The Nameless City #1);38.16;16;sequential art;4
The Murder That Never Was (Forensic Instincts #5);54.11;16;fiction;3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg;42.96;16;science;4
The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;23.89;16;add a comment;4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;16.77;16;nonfiction;3
The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer;20.59;16;default;5
The Gutsy Girl: Escapades for Your Life of Epic Adventure;37.13;16;nonfiction;1
The Electric Pencil: Drawings from Inside State Hospital No. 3;56.06;16;nonfiction;1
The Death of Humanity: and the Case for Life;58.11;16;philosophy;4
The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;49.05;16;health;3
The Art Forger;40.76;16;add a comment;3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;19.73;16;history;1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;32.24;16;spirituality;5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up;41.83;16;nonfiction;4
Soul Reader;39.58;16;default;2
Security;39.25;16;horror;2
Saga, Volume 6 (Saga (Collected Editions) #6);25.02;16;fantasy;3
Saga, Volume 5 (Saga (Collected Editions) #5);51.04;16;sequential art;2
Reskilling America: Learning to Labor in the Twenty-First Century;19.83;16;nonfiction;2
Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15);50.40;16;sequential art;3
Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1);13.61;16;sequential art;5
Princess Between Worlds (Wide-Awake Princess #5);13.34;16;fantasy;5
Pop Gun War, Volume 1: Gift;18.97;16;sequential art;1
Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;36.28;16;history;2
Patience;10.16;16;sequential art;3
Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1);15.44;16;sequential art;4
orange: The Complete Collection 1 (orange: The Complete Collection #1);48.41;16;sequential art;1
Online Marketing for Busy Authors: A Step-By-Step Guide;46.35;16;self help;1
On a Midnight Clear;14.07;16;add a comment;3
Obsidian (Lux #1);14.86;16;young adult;2
My Paris Kitchen: Recipes and Stories;33.37;16;food and drink;2
Masks and Shadows;56.40;16;fantasy;2
Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;14.02;16;food and drink;4
Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8);46.91;16;sequential art;2
Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4);45.61;16;sequential art;3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12);19.92;16;sequential art;2
Layered: Baking, Building, and Styling Spectacular Cakes;40.11;16;food and drink;1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);53.90;16;add a comment;2
Join;35.67;16;science fiction;5
In the Country We Love: My Family Divided;22.00;16;nonfiction;4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;57.36;16;science;5
I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5);29.17;16;sequential art;2
I am a Hero Omnibus Volume 1;54.63;16;sequential art;3
How to Be Miserable: 40 Strategies You Already Use;46.03;16;self help;1
Her Backup Boyfriend (The Sorensen Family #1);33.97;16;romance;1
Giant Days, Vol. 2 (Giant Days #5-8);22.11;16;sequential art;2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton;29.69;16;historical fiction;3
First and First (Five Boroughs #3);15.97;16;romance;4
Fifty Shades Darker (Fifty Shades #2);21.96;16;romance;1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day;54.35;16;nonfiction;2
Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master;37.97;16;religion;2
Danganronpa Volume 1;51.99;16;sequential art;4
Crown of Midnight (Throne of Glass #2);43.29;16;fantasy;3
Codename Baboushka, Volume 1: The Conclave of Death;36.72;16;sequential art;4
Camp Midnight;17.08;16;sequential art;4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle;29.14;16;nonfiction;5
Burning;28.81;16;young adult;3
Bossypants;49.46;16;default;2
Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions));37.92;16;sequential art;2
Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3);28.09;16;fantasy;2
Algorithms to Live By: The Computer Science of Human Decisions;30.81;16;nonfiction;1
A World of Flavor: Your Gluten Free Passport;42.95;16;default;1
A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations;56.76;16;default;5
A Murder in Time;16.64;16;mystery;1
A Flight of Arrows (The Pathfinders #2);55.53;16;historical fiction;5
A Fierce and Subtle Poison;28.13;16;young adult;4
A Court of Thorns and Roses (A Court of Thorns and Roses #1);52.37;16;fantasy;1
(Un)Qualified: How God Uses Broken People to Do Big Things;54.00;16;christian;5
You Are What You Love: The Spiritual Power of Habit;21.87;15;religion;4
William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4);43.30;15;science fiction;4
Tuesday Nights in 1980;21.04;15;fiction;2
Tracing Numbers on a Train;41.60;15;default;3
Throne of Glass (Throne of Glass #1);35.07;15;fantasy;3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History;59.64;15;history;1
Thirteen Reasons Why;52.72;15;default;1
The White Cat and the Monk: A Retelling of the Poem Pangur Ban;58.08;15;childrens;4
The Wedding Dress;24.12;15;romance;1
The Vacationers;42.15;15;fiction;4
The Third Wave: An Entrepreneur's Vision of the Future;12.61;15;business;5
The Stranger;17.44;15;philosophy;4
The Shadow Hero (The Shadow Hero);33.14;15;sequential art;1
The Secret (The Secret #1);27.37;15;default;4
The Regional Office Is Under Attack!;51.36;15;fiction;5
The Psychopath Test: A Journey Through the Madness Industry;36.00;15;default;2
The Project;10.65;15;science fiction;1
The Power of Now: A Guide to Spiritual Enlightenment;43.54;15;nonfiction;2
The Omnivore's Dilemma: A Natural History of Four Meals;38.21;15;nonfiction;2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;37.34;15;food and drink;5
The Murder of Roger Ackroyd (Hercule Poirot #4);44.10;15;mystery;4
The Mistake (Off-Campus #2);43.29;15;new adult;3
The Matchmaker's Playbook (Wingmen Inc. #1);55.85;15;new adult;1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;37.60;15;food and drink;2
The Long Shadow of Small Ghosts: Murder and Memory in an American City;10.97;15;crime;1
The Kite Runner;41.82;15;default;4
The House by the Lake;36.95;15;historical fiction;1
The Glittering Court (The Glittering Court #1);44.28;15;fantasy;1
The Girl on the Train;55.02;15;default;2
The Genius of Birds;17.24;15;nonfiction;1
The Emerald Mystery;23.15;15;default;2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First;41.25;15;food and drink;1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.;32.00;15;default;3
The Artist's Way: A Spiritual Path to Higher Creativity;38.49;15;nonfiction;5
The Art of War;33.34;15;default;5
The Argonauts;10.93;15;autobiography;2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;27.55;15;business;3
Suddenly in Love (Lake Haven #1);55.99;15;romance;2
Something More Than This;16.24;15;romance;4
Soft Apocalypse;26.12;15;science fiction;2
So You've Been Publicly Shamed;12.23;15;nonfiction;2
Shoe Dog: A Memoir by the Creator of NIKE;23.99;15;business;2
Shobu Samurai, Project Aryoku (#3);29.06;15;add a comment;3
Secrets and Lace (Fatal Hearts #1);20.27;15;default;1
Scarlett Epstein Hates It Here;43.55;15;young adult;5
Romero and Juliet: A Tragic Tale of Love and Zombies;36.94;15;default;1
Redeeming Love;20.47;15;christian fiction;5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form;41.06;15;default;1
Poems That Make Grown Women Cry;14.19;15;poetry;4
Nightingale, Sing;38.28;15;young adult;1
Night Sky with Exit Wounds;41.05;15;poetry;1
Mrs. Houdini;30.25;15;historical fiction;5
Modern Romance;28.26;15;add a comment;5
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children #1);10.76;15;default;1
Louisa: The Extraordinary Life of Mrs. Adams;16.85;15;biography;2
Little Red;13.47;15;childrens;3
Library of Souls (Miss Peregrine's Peculiar Children #3);48.56;15;young adult;5
Large Print Heart of the Pride;19.15;15;default;2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that;57.36;15;womens fiction;4
Hollow City (Miss Peregrine's Peculiar Children #2);42.98;15;fantasy;1
Grumbles;22.16;15;default;2
Full Moon over Noah's Ark: An Odyssey to Mount Ararat and Beyond;49.43;15;travel;4
Frostbite (Vampire Academy #2);29.99;15;young adult;5
Follow You Home;21.36;15;horror;1
First Steps for New Christians (Print Edition);29.00;15;default;1
Finders Keepers (Bill Hodges Trilogy #2);53.53;15;fiction;5
Fables, Vol. 1: Legends in Exile (Fables #1);41.62;15;sequential art;4
Eureka Trivia 6.0;54.59;15;default;4
Drive: The Surprising Truth About What Motivates Us;34.95;15;default;4
Done Rubbed Out (Reightman & Bailey #1);37.72;15;default;5
Doing It Over (Most Likely To #1);35.61;15;romance;3
Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals;42.16;15;food and drink;3
Dark Notes;19.19;15;erotica;5
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead;19.43;15;nonfiction;3
Close to You;49.46;15;christian fiction;4
Chasing Heaven: What Dying Taught Me About Living;37.80;15;spirituality;2
Big Magic: Creative Living Beyond Fear;30.80;15;nonfiction;3
Becoming Wise: An Inquiry into the Mystery and Art of Living;27.43;15;nonfiction;2
Beauty Restored (Riley Family Legacy Novellas #3);11.11;15;default;2
Batman: The Long Halloween (Batman);36.50;15;sequential art;2
Batman: The Dark Knight Returns (Batman);15.38;15;sequential art;5
Ayumi's Violin;15.48;15;default;2
Anonymous;46.82;15;default;4
Amy Meets the Saints and Sages;18.46;15;default;3
Amid the Chaos;36.58;15;cultural;1
Amatus;50.54;15;default;5
Agnostic: A Spirited Manifesto;12.51;15;nonfiction;5
Zealot: The Life and Times of Jesus of Nazareth;24.70;14;history;3
You (You #1);43.61;14;thriller;5
Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1);37.34;14;sequential art;4
Wild Swans;14.36;14;young adult;2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond;52.65;14;politics;4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity;38.20;14;nonfiction;4
What's It Like in Space?: Stories from Astronauts Who've Been There;19.60;14;nonfiction;2
We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1);53.90;14;sequential art;1
Walt Disney's Alice in Wonderland;12.96;14;childrens;5
V for Vendetta (V for Vendetta Complete);37.10;14;default;4
Until Friday Night (The Field Party #1);46.31;14;young adult;2
Unbroken: A World War II Story of Survival, Resilience, and Redemption;45.95;14;default;2
Twenty Yawns;22.08;14;childrens;2
Through the Woods;25.38;14;sequential art;2
This Is Where It Ends;27.12;14;young adult;2
The Year of Magical Thinking;43.04;14;nonfiction;2
The Wright Brothers;56.80;14;default;4
The White Queen (The Cousins' War #1);25.91;14;add a comment;5
The Wedding Pact (The O'Malleys #2);32.61;14;romance;3
The Time Keeper;27.88;14;fiction;5
The Testament of Mary;52.67;14;fiction;4
The Star-Touched Queen;46.02;14;fantasy;5
The Songs of the Gods;44.48;14;default;5
The Song of Achilles;37.40;14;add a comment;5
The Rosie Project (Don Tillman #1);54.04;14;default;1
The Power of Habit: Why We Do What We Do in Life and Business;16.88;14;default;3
The Marriage of Opposites;28.08;14;historical fiction;4
The Lucifer Effect: Understanding How Good People Turn Evil;10.40;14;psychology;1
The Long Haul (Diary of a Wimpy Kid #9);44.07;14;humor;1
The Loney;23.40;14;horror;1
The Literature Book (Big Ideas Simply Explained);17.43;14;nonfiction;3
The Last Mile (Amos Decker #2);54.21;14;mystery;2
The Immortal Life of Henrietta Lacks;40.67;14;add a comment;2
The Hidden Oracle (The Trials of Apollo #1);52.26;14;fantasy;2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth;28.77;14;food and drink;3
The Guilty (Will Robie #4);13.82;14;thriller;2
The First Hostage (J.B. Collins #2);25.85;14;fiction;3
The Dovekeepers;48.78;14;add a comment;1
The Darkest Lie;35.35;14;young adult;5
The Bane Chronicles (The Bane Chronicles #1-11);44.73;14;fantasy;4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World's Most Precious Manuscripts;15.77;14;nonfiction;1
The 14th Colony (Cotton Malone #11);39.24;14;thriller;1
That Darkness (Gardiner and Renner #1);13.92;14;mystery;1
Tastes Like Fear (DI Marnie Rome #3);10.69;14;mystery;1
Take Me with You;45.21;14;fiction;3
Swell: A Year of Waves;45.58;14;nonfiction;1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1);11.89;14;sequential art;5
Still Life with Bread Crumbs;26.41;14;fiction;3
Steve Jobs;39.50;14;default;5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics;44.74;14;science;4
Someone Like You (The Harrisons #2);52.79;14;contemporary;5
So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6);35.43;14;sequential art;4
Shtum;55.84;14;fiction;4
See America: A Celebration of Our National Parks & Treasured Sites;48.87;14;travel;3
salt.;46.78;14;poetry;4
Robin War;47.82;14;sequential art;3
Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1);25.48;14;sequential art;2
Rain Fish;23.57;14;childrens;3
Quarter Life Poetry: Poems for the Young, Broke and Hangry;50.89;14;poetry;5
Pet Sematary;10.56;14;horror;3
Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress;52.15;14;self help;3
Once Was a Time;18.28;14;childrens;2
Old School (Diary of a Wimpy Kid #10);11.83;14;humor;5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon;21.95;14;nonfiction;2
Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14);38.39;14;sequential art;2
My Name Is Lucy Barton;41.56;14;fiction;1
My Mrs. Brown;24.48;14;fiction;3
My Kind of Crazy;40.36;14;young adult;1
Mr. Mercedes (Bill Hodges Trilogy #1);28.90;14;fiction;1
More Than Music (Chasing the Dream #1);37.61;14;add a comment;2
Made to Stick: Why Some Ideas Survive and Others Die;38.85;14;business;5
Luis Paints the World;53.95;14;childrens;3
Luckiest Girl Alive;49.83;14;default;3
Lowriders to the Center of the Earth (Lowriders in Space #2);51.51;14;sequential art;2
Love Is a Mix Tape (Music #1);18.03;14;music;1
Looking for Lovely: Collecting the Moments that Matter;29.14;14;nonfiction;5
Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments;46.91;14;default;4
Let It Out: A Journey Through Journaling;26.79;14;nonfiction;5
Lady Midnight (The Dark Artifices #1);16.28;14;default;5
It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes;19.55;14;food and drink;1
Island of Dragons (Unwanteds #7);29.65;14;fantasy;1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction;25.98;14;humor;4
I Am Pilgrim (Pilgrim #1);10.60;14;fiction;4
Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened;14.75;14;humor;5
Hush, Hush (Hush, Hush #1);47.02;14;default;3
Hold Your Breath (Search and Rescue #1);28.82;14;romance;1
Hamilton: The Revolution;58.79;14;nonfiction;3
Greek Mythic History;10.23;14;default;5
God: The Most Unpleasant Character in All Fiction;30.03;14;religion;5
Glory over Everything: Beyond The Kitchen House;45.84;14;historical fiction;3
Feathers: Displays of Brilliant Plumage;49.05;14;art;3
Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years;15.06;14;nonfiction;4
Every Last Word;46.47;14;default;3
Eligible (The Austen Project #4);27.09;14;fiction;3
El Deafo;57.62;14;sequential art;5
Eight Hundred Grapes;14.39;14;fiction;4
Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life;51.75;14;nonfiction;5
Eat Fat, Get Thin;54.07;14;health;2
Don't Get Caught;55.35;14;young adult;1
Doctor Sleep (The Shining #2);40.12;14;horror;2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3);37.51;14;fantasy;5
Dear Mr. Knightley;11.21;14;fiction;5
Daily Fantasy Sports;36.58;14;default;1
Crazy Love: Overwhelmed by a Relentless God;47.72;14;christian;2
Cometh the Hour (The Clifton Chronicles #6);25.01;14;fiction;3
Code Name Verity (Code Name Verity #1);22.13;14;add a comment;4
Clockwork Angel (The Infernal Devices #1);44.14;14;default;1
City of Glass (The Mortal Instruments #3);56.02;14;fantasy;4
City of Fallen Angels (The Mortal Instruments #4);11.23;14;default;4
City of Bones (The Mortal Instruments #1);43.28;14;default;1
City of Ashes (The Mortal Instruments #2);47.27;14;default;1
Cell;20.29;14;add a comment;4
Catching Jordan (Hundred Oaks);50.83;14;young adult;3
Carry On, Warrior: Thoughts on Life Unarmed;31.85;14;default;3
Carrie;46.23;14;default;2
Buying In: The Secret Dialogue Between What We Buy and Who We Are;37.80;14;nonfiction;4
Brain on Fire: My Month of Madness;49.32;14;nonfiction;5
Batman: Europa;32.01;14;sequential art;2
Barefoot Contessa Back to Basics;28.01;14;food and drink;1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again;50.62;14;food and drink;5
Balloon Animals;17.03;14;fiction;3
Art Ops Vol. 1;48.80;14;sequential art;3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1);58.14;14;young adult;4
Angels Walking (Angels Walking #1);34.20;14;add a comment;2
Angels & Demons (Robert Langdon #1);51.48;14;default;3
All the Light We Cannot See;29.87;14;historical;5
Adulthood Is a Myth: A "Sarah's Scribbles" Collection;10.90;14;sequential art;2
Abstract City;56.37;14;nonfiction;5
A Time of Torment (Charlie Parker #14);48.35;14;mystery;5
A Study in Scarlet (Sherlock Holmes #1);16.73;14;mystery;2
A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer;56.48;14;add a comment;2
A People's History of the United States;40.79;14;add a comment;2
A Man Called Ove;39.72;14;fiction;1
A Distant Mirror: The Calamitous 14th Century;14.58;14;history;3
A Brush of Wings (Angels Walking #3);55.51;14;add a comment;1
1491: New Revelations of the Americas Before Columbus;21.80;14;history;3
The Three Searches, Meaning, and the Story;13.33;13;default;3
Searching for Meaning in Gailana;38.73;13;fantasy;1
Rook;37.86;13;add a comment;4
My Kitchen Year: 136 Recipes That Saved My Life;11.53;13;food and drink;2
13 Hours: The Inside Account of What Really Happened In Benghazi;27.06;13;nonfiction;1
Will You Won't You Want Me?;13.86;12;womens fiction;3
Tipping Point for Planet Earth: How Close Are We to the Edge?;37.55;12;science;1
The Star-Touched Queen;32.30;12;fantasy;5
The Silent Sister (Riley MacPherson #1);46.29;12;fiction;5
The Midnight Watch: A Novel of the Titanic and the Californian;26.20;12;add a comment;1
The Lonely City: Adventures in the Art of Being Alone;33.26;12;nonfiction;2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore;59.15;12;add a comment;4
The Golden Condom: And Other Essays on Love Lost and Found;39.43;12;psychology;1
The Epidemic (The Program 0.6);14.44;12;young adult;5
The Dinner Party;56.54;12;fiction;2
The Diary of a Young Girl;59.90;12;nonfiction;3
The Children;11.88;12;add a comment;3
Stars Above (The Lunar Chronicles #4.5);48.05;12;young adult;2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas;21.21;12;nonfiction;3
Raspberry Pi Electronics Projects for the Evil Genius;49.67;12;default;4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two;43.14;12;business;1
Psycho: Sanitarium (Psycho #1.5);36.97;12;horror;5
Poisonous (Max Revere Novels #3);26.80;12;mystery;3
One with You (Crossfire #5);15.71;12;add a comment;4
No Love Allowed (Dodge Cove #1);54.65;12;young adult;4
Murder at the 42nd Street Library (Raymond Ambler #1);54.36;12;mystery;4
Most Wanted;35.28;12;mystery;3
Love, Lies and Spies;20.55;12;historical fiction;2
How to Speak Golf: An Illustrated Guide to Links Lingo;58.32;12;default;5
Hide Away (Eve Duncan #20);11.84;12;mystery;1
Furiously Happy: A Funny Book About Horrible Things;41.46;12;nonfiction;4
Everyday Italian: 125 Simple and Delicious Recipes;20.10;12;food and drink;5
Equal Is Unfair: America's Misguided Fight Against Income Inequality;56.86;12;politics;1
Eleanor & Park;56.51;12;default;5
Dirty (Dive Bar #1);40.83;12;romance;4
Can You Keep a Secret? (Fear Street Relaunch #4);48.64;12;horror;1
Boar Island (Anna Pigeon #19);59.48;12;mystery;3
A Paris Apartment;39.01;12;historical fiction;4
A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More;38.77;12;food and drink;1
Troublemaker: Surviving Hollywood and Scientology;48.39;11;default;2
The Widow;27.26;11;mystery;2
The Sleep Revolution: Transforming Your Life, One Night at a Time;11.68;11;nonfiction;4
The Improbability of Love;59.45;11;fiction;1
The Art of Startup Fundraising;21.00;11;business;3
Take Me Home Tonight (Rock Star Romance #3);53.98;11;romance;3
Sleeping Giants (Themis Files #1);48.74;11;science fiction;1
Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena;21.15;11;biography;2
Playing with Fire;13.71;11;mystery;3
Off the Hook (Fishing for Trouble #1);47.67;11;romance;3
Mothering Sunday;13.34;11;fiction;2
Mother, Can You Not?;16.89;11;nonfiction;5
M Train;27.18;11;autobiography;1
Lilac Girls;17.28;11;historical fiction;2
Lies and Other Acts of Love;45.14;11;fiction;1
Lab Girl;40.85;11;autobiography;1
Keep Me Posted;20.46;11;womens fiction;4
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle;56.27;11;psychology;3
Grey (Fifty Shades #4);48.49;11;womens fiction;4
Exit, Pursued by a Bear;51.34;11;young adult;4
Daredevils;16.34;11;fiction;3
Cravings: Recipes for What You Want to Eat;20.50;11;food and drink;3
Born for This: How to Find the Work You Were Meant to Do;21.59;11;business;5
Arena;21.36;11;science fiction;4
Adultery;20.88;11;default;5
A Mother's Reckoning: Living in the Aftermath of Tragedy;19.53;11;nonfiction;3
A Gentleman's Position (Society of Gentlemen #3);14.75;11;romance;5
11/22/63;48.48;11;fiction;3
10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works;24.57;10;nonfiction;2
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!;49.71;10;health;5
