title,price,star_rating,availability,category
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,One,In stock (13 available),Nonfiction
The Lonely City: Adventures in the Art of Being Alone,£33.26,Two,In stock (12 available),Nonfiction
The Diary of a Young Girl,£59.90,Three,In stock (12 available),Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,Three,In stock (12 available),Nonfiction
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four,In stock (12 available),Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four,In stock (11 available),Nonfiction
"Mother, Can You Not?",£16.89,Five,In stock (11 available),Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,Three,In stock (11 available),Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,Two,In stock (10 available),Nonfiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock (19 available),Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock (16 available),Sequential Art
This One Summer,£19.49,Four,In stock (16 available),Sequential Art
The Nameless City (The Nameless City #1),£38.16,Four,In stock (16 available),Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock (16 available),Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock (16 available),Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock (16 available),Sequential Art
"Pop Gun War, Volume 1: Gift",£18.97,One,In stock (16 available),Sequential Art
Patience,£10.16,Three,In stock (16 available),Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock (16 available),Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock (16 available),Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock (16 available),Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock (16 available),Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock (16 available),Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,Two,In stock (16 available),Sequential Art
I am a Hero Omnibus Volume 1,£54.63,Three,In stock (16 available),Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,Two,In stock (16 available),Sequential Art
Danganronpa Volume 1,£51.99,Four,In stock (16 available),Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,Four,In stock (16 available),Sequential Art
Camp Midnight,£17.08,Four,In stock (16 available),Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,Two,In stock (16 available),Sequential Art
The Shadow Hero (The Shadow Hero),£33.14,One,In stock (15 available),Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,Four,In stock (15 available),Sequential Art
Batman: The Long Halloween (Batman),£36.50,Two,In stock (15 available),Sequential Art
Batman: The Dark Knight Returns (Batman),£15.38,Five,In stock (15 available),Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,Four,In stock (14 available),Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,One,In stock (14 available),Sequential Art
Through the Woods,£25.38,Two,In stock (14 available),Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,Five,In stock (14 available),Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,Four,In stock (14 available),Sequential Art
Robin War,£47.82,Three,In stock (14 available),Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,Two,In stock (14 available),Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,Two,In stock (14 available),Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,Two,In stock (14 available),Sequential Art
El Deafo,£57.62,Five,In stock (14 available),Sequential Art
Batman: Europa,£32.01,Two,In stock (14 available),Sequential Art
Art Ops Vol. 1,£48.80,Three,In stock (14 available),Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,Two,In stock (14 available),Sequential Art
The Requiem Red,£22.65,One,In stock (19 available),Young Adult
Set Me Free,£17.46,Five,In stock (19 available),Young Adult
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,In stock (16 available),Young Adult
Obsidian (Lux #1),£14.86,Two,In stock (16 available),Young Adult
Burning,£28.81,Three,In stock (16 available),Young Adult
A Fierce and Subtle Poison,£28.13,Four,In stock (16 available),Young Adult
Scarlett Epstein Hates It Here,£43.55,Five,In stock (15 available),Young Adult
"Nightingale, Sing",£38.28,One,In stock (15 available),Young Adult
Library of Souls (Miss Peregrine's Peculiar Children #3),£48.56,Five,In stock (15 available),Young Adult
Frostbite (Vampire Academy #2),£29.99,Five,In stock (15 available),Young Adult
Wild Swans,£14.36,Two,In stock (14 available),Young Adult
Until Friday Night (The Field Party #1),£46.31,Two,In stock (14 available),Young Adult
This Is Where It Ends,£27.12,Two,In stock (14 available),Young Adult
The Darkest Lie,£35.35,Five,In stock (14 available),Young Adult
My Kind of Crazy,£40.36,One,In stock (14 available),Young Adult
Don't Get Caught,£55.35,One,In stock (14 available),Young Adult
Catching Jordan (Hundred Oaks),£50.83,Three,In stock (14 available),Young Adult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,Four,In stock (14 available),Young Adult
The Epidemic (The Program 0.6),£14.44,Five,In stock (12 available),Young Adult
Stars Above (The Lunar Chronicles #4.5),£48.05,Two,In stock (12 available),Young Adult
No Love Allowed (Dodge Cove #1),£54.65,Four,In stock (12 available),Young Adult
"Exit, Pursued by a Bear",£51.34,Four,In stock (11 available),Young Adult
A Glitchy Listing,£N/A,Three,In stock (5 available),Fiction
Corrupted Rating Example,£19.99,Zero,In stock (3 available),Nonfiction
Unclear Availability Example,£12.50,Two,Ask in store,Young Adult
