title,price_gbp,price_inr,rating,in_stock,category
In the Country We Love: My Family Divided,22.0,2321.0,4,True,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,5733.92,2,True,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,3074.27,5,True,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,30.81,3250.46,1,True,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,4593.47,2,True,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,4031.16,2,True,Nonfiction
The Genius of Birds,17.24,1818.82,1,True,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,4060.7,5,True,Nonfiction
So You've Been Publicly Shamed,12.23,1290.27,2,True,Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,2049.86,3,True,Nonfiction
Big Magic: Creative Living Beyond Fear,30.8,3249.4,3,True,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2893.86,2,True,Nonfiction
Agnostic: A Spirited Manifesto,12.51,1319.8,5,True,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4030.1,4,True,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2067.8,2,True,Nonfiction
The Year of Magical Thinking,43.04,4540.72,2,True,Nonfiction
The Literature Book (Big Ideas Simply Explained),17.43,1838.86,3,True,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World's Most Precious Manuscripts,15.77,1663.74,1,True,Nonfiction
Swell: A Year of Waves,45.58,4808.69,1,True,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2315.72,2,True,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,29.14,3074.27,5,True,Nonfiction
Let It Out: A Journey Through Journaling,26.79,2826.34,5,True,Nonfiction
Hamilton: The Revolution,58.79,6202.34,3,True,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,1588.83,4,True,Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5459.62,5,True,Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,3987.9,4,True,Nonfiction
Brain on Fire: My Month of Madness,49.32,5203.26,5,True,Nonfiction
Abstract City,56.37,5947.04,5,True,Nonfiction
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,2854.83,1,True,Nonfiction
The Lonely City: Adventures in the Art of Being Alone,33.26,3508.93,2,True,Nonfiction
The Diary of a Young Girl,59.9,6319.45,3,True,Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,2237.66,3,True,Nonfiction
Furiously Happy: A Funny Book About Horrible Things,41.46,4374.03,4,True,Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,1232.24,4,True,Nonfiction
"Mother, Can You Not?",16.89,1781.9,5,True,Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,2060.42,3,True,Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2592.14,2,True,Nonfiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,True,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,True,Sequential Art
This One Summer,19.49,2056.19,4,True,Sequential Art
The Nameless City (The Nameless City #1),38.16,4025.88,4,True,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,True,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,True,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,2001.33,1,True,Sequential Art
Patience,10.16,1071.88,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.25,1,True,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.56,2,True,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.44,2,True,Sequential Art
I am a Hero Omnibus Volume 1,54.63,5763.46,3,True,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2,True,Sequential Art
Danganronpa Volume 1,51.99,5484.95,4,True,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,True,Sequential Art
Camp Midnight,17.08,1801.94,4,True,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.56,2,True,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,3496.27,1,True,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4,True,Sequential Art
Batman: The Long Halloween (Batman),36.5,3850.75,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,1622.59,5,True,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.37,4,True,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,5686.45,1,True,Sequential Art
Through the Woods,25.38,2677.59,2,True,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.4,5,True,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.86,4,True,Sequential Art
Robin War,47.82,5045.01,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2,True,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.14,2,True,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,5434.3,2,True,Sequential Art
El Deafo,57.62,6078.91,5,True,Sequential Art
Batman: Europa,32.01,3377.06,2,True,Sequential Art
Art Ops Vol. 1,48.8,5148.4,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,True,Sequential Art
The Requiem Red,22.65,2389.57,1,True,Young Adult
Set Me Free,17.46,1842.03,5,True,Young Adult
The Natural History of Us (The Fine Art of Pretending #2),45.22,4770.71,3,True,Young Adult
Obsidian (Lux #1),14.86,1567.73,2,True,Young Adult
Burning,28.81,3039.46,3,True,Young Adult
A Fierce and Subtle Poison,28.13,2967.71,4,True,Young Adult
Scarlett Epstein Hates It Here,43.55,4594.52,5,True,Young Adult
"Nightingale, Sing",38.28,4038.54,1,True,Young Adult
Library of Souls (Miss Peregrine's Peculiar Children #3),48.56,5123.08,5,True,Young Adult
Frostbite (Vampire Academy #2),29.99,3163.94,5,True,Young Adult
Wild Swans,14.36,1514.98,2,True,Young Adult
Until Friday Night (The Field Party #1),46.31,4885.7,2,True,Young Adult
This Is Where It Ends,27.12,2861.16,2,True,Young Adult
The Darkest Lie,35.35,3729.42,5,True,Young Adult
My Kind of Crazy,40.36,4257.98,1,True,Young Adult
Don't Get Caught,55.35,5839.42,1,True,Young Adult
Catching Jordan (Hundred Oaks),50.83,5362.56,3,True,Young Adult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,6133.77,4,True,Young Adult
The Epidemic (The Program 0.6),14.44,1523.42,5,True,Young Adult
Stars Above (The Lunar Chronicles #4.5),48.05,5069.27,2,True,Young Adult
No Love Allowed (Dodge Cove #1),54.65,5765.58,4,True,Young Adult
"Exit, Pursued by a Bear",51.34,5416.37,4,True,Young Adult
A Glitchy Listing,40.64,4287.52,3,True,Fiction
